time,instanceElectricity
01/31 00:00,2906.05558634339
01/31 01:00,3242.52576715764
01/31 02:00,3007.9183382169
01/31 03:00,4631.79896340061
01/31 04:00,924.140487719579
01/31 05:00,1356.2747569324
01/31 06:00,3806.78600692436
01/31 07:00,3760.67757138879
01/31 08:00,3471.52576777037
01/31 09:00,5132.85224570826
01/31 10:00,2683.26058676595
01/31 11:00,2361.55852297389
01/31 12:00,3510.98782138901
01/31 13:00,3632.91086350506
01/31 14:00,5252.7196477449
01/31 15:00,4597.78014631339
01/31 16:00,3112.6724020593
01/31 17:00,2898.62428921614
01/31 18:00,2970.74451445587
01/31 19:00,7281.57043310094
01/31 20:00,5462.0900563366
01/31 21:00,3242.97909042521
01/31 22:00,6857.4205647038
01/31 23:00,2846.93692173575
02/01 00:00,3045.98395239813
02/01 01:00,2744.98026018183
02/01 02:00,2618.91406863758
02/01 03:00,3299.61803912899
02/01 04:00,583.881372964743
02/01 05:00,1002.2189074755
02/01 06:00,2243.05105576708
02/01 07:00,2676.23082676288
02/01 08:00,3453.51673592544
02/01 09:00,3107.08481885119
02/01 10:00,3158.8246296066
02/01 11:00,2410.38466541229
02/01 12:00,2806.93701598108
02/01 13:00,5830.2303140231
02/01 14:00,5919.77501618087
02/01 15:00,3657.52425646272
02/01 16:00,4238.03610736882
02/01 17:00,3528.85612824594
02/01 18:00,3785.35376079798
02/01 19:00,6461.21478634274
02/01 20:00,4797.32555311861
02/01 21:00,2265.34191827818
02/01 22:00,4819.32729406497
02/01 23:00,562.788903765172
02/02 00:00,2909.52841559827
02/02 01:00,2206.22584785529
02/02 02:00,3515.87031833019
02/02 03:00,2965.36733864083
02/02 04:00,379.322423120708
02/02 05:00,628.414232657019
02/02 06:00,2091.62297343492
02/02 07:00,2175.71468182196
02/02 08:00,3180.44715446043
02/02 09:00,2674.12384395929
02/02 10:00,3108.12873125755
02/02 11:00,2054.45015368063
02/02 12:00,2602.23315873126
02/02 13:00,4743.8187547766
02/02 14:00,3962.05245578817
02/02 15:00,4389.0702604847
02/02 16:00,2760.66468993568
02/02 17:00,2283.77621411735
02/02 18:00,3036.7238220884
02/02 19:00,6302.2341177537
02/02 20:00,4719.92644124806
02/02 21:00,2189.23199791121
02/02 22:00,5341.58081787213
02/02 23:00,2417.58381044244
02/03 00:00,2795.6834984755
02/03 01:00,2902.42341521422
02/03 02:00,1919.66045802165
02/03 03:00,3414.26721477083
02/03 04:00,21.0269537538665
02/03 05:00,132.194479398735
02/03 06:00,1752.32374234521
02/03 07:00,2645.77108163193
02/03 08:00,2217.7555441927
02/03 09:00,2367.62258570558
02/03 10:00,3399.8351036697
02/03 11:00,2244.26990657483
02/03 12:00,2812.64536826508
02/03 13:00,4568.49757722892
02/03 14:00,3353.49169562873
02/03 15:00,4482.73713991562
02/03 16:00,2739.58922290595
02/03 17:00,2318.21401098124
02/03 18:00,3781.94913928026
02/03 19:00,6249.71050742282
02/03 20:00,4456.66555891194
02/03 21:00,2238.50516572646
02/03 22:00,5070.50643415152
02/03 23:00,337.768558513478
02/04 00:00,3112.30150719584
02/04 01:00,3708.61979238307
02/04 02:00,1949.53353779117
02/04 03:00,2357.1469036999
02/04 04:00,171.638308485048
02/04 05:00,108.540741875912
02/04 06:00,2240.86555868772
02/04 07:00,2344.58340668177
02/04 08:00,2677.01047566347
02/04 09:00,2562.99633330522
02/04 10:00,2439.14711664499
02/04 11:00,2225.92724351837
02/04 12:00,2315.09041354385
02/04 13:00,5221.98671566469
02/04 14:00,5657.60007125306
02/04 15:00,4339.30039195796
02/04 16:00,2903.8348150612
02/04 17:00,4158.51173826164
02/04 18:00,3904.24768657356
02/04 19:00,6967.2693044044
02/04 20:00,7408.61872441132
02/04 21:00,3321.73035335926
02/04 22:00,6879.04636429548
02/04 23:00,1633.50970112181
02/05 00:00,3485.19291247671
02/05 01:00,4433.11275108888
02/05 02:00,3649.52919905466
02/05 03:00,1882.13852842943
02/05 04:00,2.66479440568883
02/05 05:00,190.057648409495
02/05 06:00,2840.03251827579
02/05 07:00,3002.70825808538
02/05 08:00,2890.13425029249
02/05 09:00,2802.71549013208
02/05 10:00,2764.19149700845
02/05 11:00,2863.96374195384
02/05 12:00,2811.55244252423
02/05 13:00,4354.71935230578
02/05 14:00,3437.71707120264
02/05 15:00,3386.11577058417
02/05 16:00,2825.68480126848
02/05 17:00,2315.71546754097
02/05 18:00,2388.61786767879
02/05 19:00,6374.33696754694
02/05 20:00,4698.54458170943
02/05 21:00,2946.36488653011
02/05 22:00,3501.96291973431
02/05 23:00,3815.29121611947
02/06 00:00,2666.69437838102
02/06 01:00,2943.55688041564
02/06 02:00,4714.82125475616
02/06 03:00,2219.60487621924
02/06 04:00,726.069921416376
02/06 05:00,731.030749472406
02/06 06:00,2423.30239133824
02/06 07:00,3100.27818172561
02/06 08:00,2431.35548104853
02/06 09:00,3196.53154896269
02/06 10:00,3772.35817271677
02/06 11:00,2960.55076245443
02/06 12:00,2451.79361241991
02/06 13:00,4367.352133684
02/06 14:00,3464.80983022889
02/06 15:00,4048.78457303782
02/06 16:00,2335.35897153435
02/06 17:00,2669.98507844919
02/06 18:00,3894.7381386545
02/06 19:00,6271.40406931255
02/06 20:00,4679.46817488417
02/06 21:00,2201.66308546421
02/06 22:00,5046.79965803571
02/06 23:00,452.55192168325
02/07 00:00,2357.96511155611
02/07 01:00,2205.45015108656
02/07 02:00,2325.63828721713
02/07 03:00,2713.17877497641
02/07 04:00,273.954416595104
02/07 05:00,153.234137084598
02/07 06:00,1864.35179135856
02/07 07:00,1838.56307883124
02/07 08:00,2323.03632307028
02/07 09:00,2282.40460660957
02/07 10:00,3642.18850326983
02/07 11:00,2933.84958961206
02/07 12:00,2474.04583766361
02/07 13:00,5049.4930387356
02/07 14:00,4559.615566184
02/07 15:00,3864.23471680016
02/07 16:00,2687.48804503673
02/07 17:00,4030.5044450838
02/07 18:00,4130.34971257143
02/07 19:00,6288.13596299831
02/07 20:00,5620.35931442282
02/07 21:00,3167.75787647599
02/07 22:00,6013.76426528911
02/07 23:00,1041.09973249907
02/08 00:00,2790.60724772594
02/08 01:00,3340.24719846733
02/08 02:00,2692.10889881821
02/08 03:00,3346.25690108317
02/08 04:00,29.2524021669907
02/08 05:00,79.1346918393767
02/08 06:00,2117.13138700291
02/08 07:00,2288.35067575943
02/08 08:00,2588.17404081051
02/08 09:00,2702.67137711174
02/08 10:00,2451.7548607433
02/08 11:00,2876.54653404124
02/08 12:00,2473.67489752623
02/08 13:00,5020.3919874751
02/08 14:00,2688.06560896331
02/08 15:00,3241.8530752828
02/08 16:00,2848.59045044555
02/08 17:00,2646.43544096984
02/08 18:00,2299.37252343615
02/08 19:00,6263.9533061035
02/08 20:00,4894.42916230356
02/08 21:00,2284.03815918226
02/08 22:00,5092.97378416322
02/08 23:00,979.21768333323
02/09 00:00,2194.44038379824
02/09 01:00,2546.3144818597
02/09 02:00,3242.8704169391
02/09 03:00,2827.24155016115
02/09 04:00,175.998926501782
02/09 05:00,108.440991498018
02/09 06:00,3076.86508522517
02/09 07:00,1932.0362746141
02/09 08:00,2684.84788468665
02/09 09:00,2484.62665457093
02/09 10:00,3074.03179009509
02/09 11:00,2391.12532513429
02/09 12:00,2334.60098034551
02/09 13:00,4312.90420924991
02/09 14:00,3687.25224408109
02/09 15:00,3516.68066658428
02/09 16:00,2389.8647631159
02/09 17:00,2335.86169249764
02/09 18:00,4094.96047432681
02/09 19:00,6473.09470942114
02/09 20:00,5784.87799366116
02/09 21:00,2361.03403821052
02/09 22:00,5189.71120568658
02/09 23:00,422.719591351315
02/10 00:00,3290.46169262177
02/10 01:00,3388.95113754045
02/10 02:00,2301.57256632379
02/10 03:00,3240.22136158296
02/10 04:00,342.965041851355
02/10 05:00,642.188891173269
02/10 06:00,1965.57213045581
02/10 07:00,2113.22081667268
02/10 08:00,1967.23302060226
02/10 09:00,2949.32958742645
02/10 10:00,3295.812342095
02/10 11:00,2474.34803930651
02/10 12:00,2620.22890656053
02/10 13:00,5307.07151543488
02/10 14:00,5205.71777934498
02/10 15:00,4403.69411994632
02/10 16:00,4726.4774229538
02/10 17:00,5021.45883116637
02/10 18:00,4791.55094131218
02/10 19:00,7292.58746447752
02/10 20:00,7278.70397486975
02/10 21:00,3505.04857097867
02/10 22:00,6621.75991446246
02/10 23:00,1977.89163446558
02/11 00:00,3635.33696360755
02/11 01:00,2926.99415161138
02/11 02:00,2365.07562775313
02/11 03:00,2648.41539645232
02/11 04:00,290.944495268076
02/11 05:00,337.819811910927
02/11 06:00,2835.64343160429
02/11 07:00,1963.2627715984
02/11 08:00,2165.86489896564
02/11 09:00,2895.02298622674
02/11 10:00,2858.1006677707
02/11 11:00,2450.24494077379
02/11 12:00,2710.40816726315
02/11 13:00,3698.72426523437
02/11 14:00,3070.29736673058
02/11 15:00,3079.99879344894
02/11 16:00,3462.55958790429
02/11 17:00,3169.73804674826
02/11 18:00,3113.73658849892
02/11 19:00,6820.93473623908
02/11 20:00,5310.54284988008
02/11 21:00,3024.14115288835
02/11 22:00,6581.44386397351
02/11 23:00,1046.83963007131
02/12 00:00,2917.96735483219
02/12 01:00,3174.68983188067
02/12 02:00,3108.83308203373
02/12 03:00,2712.9216678467
02/12 04:00,271.962068444059
02/12 05:00,94.572235553629
02/12 06:00,112.323325409942
02/12 07:00,2022.53048358159
02/12 08:00,2164.61944968364
02/12 09:00,2666.05876272349
02/12 10:00,2523.87123559554
02/12 11:00,4393.74916055612
02/12 12:00,3186.78192059416
02/12 13:00,4629.40613466245
02/12 14:00,4845.72161508785
02/12 15:00,3908.90459552948
02/12 16:00,4685.82822320039
02/12 17:00,3663.0827981535
02/12 18:00,3489.69477497447
02/12 19:00,6095.08238942225
02/12 20:00,4525.69226298651
02/12 21:00,2261.63861632169
02/12 22:00,4053.44910466544
02/12 23:00,344.447543840616
02/13 00:00,2178.67806045343
02/13 01:00,3932.02378632447
02/13 02:00,1050.556591244
02/13 03:00,609.33683711237
02/13 04:00,-901.860397708752
02/13 05:00,94.0429958988956
02/13 06:00,94.5032102028691
02/13 07:00,95.2798574991792
02/13 08:00,-29.6376444729264
02/13 09:00,1496.13335392984
02/13 10:00,1986.12556856152
02/13 11:00,2417.97830217451
02/13 12:00,2262.70342795694
02/13 13:00,4165.56726569655
02/13 14:00,3424.65025475531
02/13 15:00,3947.54833775079
02/13 16:00,2359.91149135367
02/13 17:00,2354.54925290118
02/13 18:00,3836.99831892202
02/13 19:00,6109.44686451071
02/13 20:00,4527.68706986595
02/13 21:00,2276.03473114894
02/13 22:00,5130.70243267614
02/13 23:00,295.332269241296
02/14 00:00,2265.33596071771
02/14 01:00,492.081288630843
02/14 02:00,-592.044460632063
02/14 03:00,-657.309950888465
02/14 04:00,-693.909080880615
02/14 05:00,35.6904167028899
02/14 06:00,107.761049162427
02/14 07:00,110.709992436084
02/14 08:00,20.0472905713643
02/14 09:00,2196.67226098947
02/14 10:00,2279.57312417765
02/14 11:00,2289.37039048843
02/14 12:00,2854.51006160522
02/14 13:00,5597.5843647512
02/14 14:00,6054.7370810803
02/14 15:00,3580.87167512815
02/14 16:00,3975.51598061176
02/14 17:00,4131.11463370979
02/14 18:00,4236.61044477873
02/14 19:00,6748.12483311918
02/14 20:00,6805.295171343
02/14 21:00,3239.31413353125
02/14 22:00,7816.69845081981
02/14 23:00,1281.04955196779
02/15 00:00,2607.40262175888
02/15 01:00,359.160341725389
02/15 02:00,-297.819782882342
02/15 03:00,659.401337321879
02/15 04:00,-186.025087976236
02/15 05:00,118.899972398519
02/15 06:00,96.7722377479161
02/15 07:00,95.7517741733397
02/15 08:00,2473.5511293874
02/15 09:00,2873.7188366264
02/15 10:00,3250.00489644466
02/15 11:00,2308.97443816235
02/15 12:00,2767.44430731417
02/15 13:00,4848.8128536133
02/15 14:00,3710.92586482313
02/15 15:00,3500.02748734577
02/15 16:00,2897.80894060751
02/15 17:00,2291.12476042478
02/15 18:00,3788.31711592184
02/15 19:00,6226.04894222562
02/15 20:00,4596.67519368607
02/15 21:00,4784.86793493042
02/15 22:00,5517.55176053246
02/15 23:00,1017.62018382433
02/16 00:00,2129.10156535599
02/16 01:00,1136.57936008209
02/16 02:00,709.908174848559
02/16 03:00,-258.229634086366
02/16 04:00,-318.333511369607
02/16 05:00,95.8528420931266
02/16 06:00,102.965633335482
02/16 07:00,94.2751784679671
02/16 08:00,2685.09978181278
02/16 09:00,2561.79519592727
02/16 10:00,2284.9047792862
02/16 11:00,2292.54396763157
02/16 12:00,2905.14161971743
02/16 13:00,3847.24871519781
02/16 14:00,4917.00715244879
02/16 15:00,3710.3431542552
02/16 16:00,4213.54945296268
02/16 17:00,3693.75810321809
02/16 18:00,3754.886144068
02/16 19:00,6384.77825151402
02/16 20:00,4684.19187362286
02/16 21:00,2166.36287694007
02/16 22:00,4605.19104282854
02/16 23:00,314.49357623842
02/17 00:00,836.222318047281
02/17 01:00,1799.66426140474
02/17 02:00,-70.9386127803031
02/17 03:00,-720.817350664338
02/17 04:00,-1769.44459637334
02/17 05:00,-191.190337552887
02/17 06:00,120.521922309816
02/17 07:00,104.887777344717
02/17 08:00,109.31240246643
02/17 09:00,1621.62335440196
02/17 10:00,3547.02547024632
02/17 11:00,2398.79507702859
02/17 12:00,1929.05823632721
02/17 13:00,2556.87688086611
02/17 14:00,3457.12552452886
02/17 15:00,4049.59349015144
02/17 16:00,2542.56491479218
02/17 17:00,2086.8242244263
02/17 18:00,2216.99367609424
02/17 19:00,6082.78713209557
02/17 20:00,4572.62008723819
02/17 21:00,2296.26532513253
02/17 22:00,5371.5591711077
02/17 23:00,1358.73029158565
02/18 00:00,1833.47242552431
02/18 01:00,763.931075590378
02/18 02:00,198.557158152922
02/18 03:00,-1626.70288105466
02/18 04:00,-670.39762003612
02/18 05:00,-528.860428276561
02/18 06:00,89.1843129021204
02/18 07:00,93.7714939141961
02/18 08:00,2466.16443878057
02/18 09:00,1153.31136564312
02/18 10:00,2012.48853534977
02/18 11:00,2438.44478973262
02/18 12:00,2315.10733921732
02/18 13:00,3239.75699315148
02/18 14:00,4415.605069767
02/18 15:00,5242.02847573983
02/18 16:00,4457.09103514449
02/18 17:00,4365.4307048517
02/18 18:00,3958.4787747027
02/18 19:00,6335.85083841121
02/18 20:00,4730.93199082931
02/18 21:00,2563.83584988659
02/18 22:00,5606.66984622476
02/18 23:00,3311.21437161327
02/19 00:00,2824.2046893944
02/19 01:00,2603.21025282148
02/19 02:00,2140.07785251004
02/19 03:00,1460.45287694832
02/19 04:00,68.3601908515999
02/19 05:00,59.6061228315139
02/19 06:00,87.9426146914263
02/19 07:00,1911.22551300224
02/19 08:00,2190.2784564258
02/19 09:00,2133.11154228816
02/19 10:00,2109.22506306122
02/19 11:00,2076.47062087548
02/19 12:00,2437.24189288551
02/19 13:00,4336.62651191904
02/19 14:00,2745.31549819609
02/19 15:00,3995.15808287623
02/19 16:00,3155.18871597246
02/19 17:00,2445.10130480719
02/19 18:00,3596.20212931239
02/19 19:00,6164.95437866211
02/19 20:00,4132.10244328235
02/19 21:00,1792.83115393901
02/19 22:00,2811.20925847316
02/19 23:00,557.835658888851
02/20 00:00,2676.17610413362
02/20 01:00,1861.72117075009
02/20 02:00,1859.67010332654
02/20 03:00,1066.93730391401
02/20 04:00,-3.65123285107583
02/20 05:00,116.05301897943
02/20 06:00,163.157958255248
02/20 07:00,2003.00459517725
02/20 08:00,2208.32121956002
02/20 09:00,2039.70911227368
02/20 10:00,2084.71518055247
02/20 11:00,2466.78527198192
02/20 12:00,2440.7109065777
02/20 13:00,4091.35763563287
02/20 14:00,4501.65297024182
02/20 15:00,3270.26583378975
02/20 16:00,4546.65151498756
02/20 17:00,5401.71144340396
02/20 18:00,3987.14521098974
02/20 19:00,6729.86703961007
02/20 20:00,6324.97381167007
02/20 21:00,2248.54511532843
02/20 22:00,2533.10371680721
02/20 23:00,1170.96167619224
02/21 00:00,1813.12513820996
02/21 01:00,1273.15304455549
02/21 02:00,1832.91733114844
02/21 03:00,278.55963305165
02/21 04:00,116.919946154354
02/21 05:00,100.051887508813
02/21 06:00,104.252950575737
02/21 07:00,2083.87360501958
02/21 08:00,1579.72098240449
02/21 09:00,2843.40387862341
02/21 10:00,2615.80116594722
02/21 11:00,3146.23610038612
02/21 12:00,2864.807319971
02/21 13:00,2812.4752721183
02/21 14:00,3234.34885265349
02/21 15:00,3883.06840635747
02/21 16:00,3754.18811202213
02/21 17:00,2412.44743198828
02/21 18:00,2499.8220630146
02/21 19:00,5146.18841053636
02/21 20:00,4105.2967615892
02/21 21:00,2377.63366089562
02/21 22:00,3378.06080326929
02/21 23:00,1109.02265335077
02/22 00:00,1852.877593023
02/22 01:00,2145.60166880617
02/22 02:00,1307.1145569613
02/22 03:00,1710.13472810516
02/22 04:00,165.268411319152
02/22 05:00,72.071049872978
02/22 06:00,2672.21187527423
02/22 07:00,2399.23775291891
02/22 08:00,2318.89867333241
02/22 09:00,2748.09987038162
02/22 10:00,3219.89882045941
02/22 11:00,3135.45112970515
02/22 12:00,2835.35832515181
02/22 13:00,3730.24512554441
02/22 14:00,5087.44263408093
02/22 15:00,3863.21200687398
02/22 16:00,2585.30370406786
02/22 17:00,3495.56797420338
02/22 18:00,3759.3502520278
02/22 19:00,5963.22948737778
02/22 20:00,4520.64653680736
02/22 21:00,1962.42743443504
02/22 22:00,3188.28014945444
02/22 23:00,1277.79202531453
02/23 00:00,2547.56835170905
02/23 01:00,2490.37261770976
02/23 02:00,2206.37431099034
02/23 03:00,2458.68389054523
02/23 04:00,-10.7404776903902
02/23 05:00,57.0675591056549
02/23 06:00,2362.80355495915
02/23 07:00,931.991671285523
02/23 08:00,3874.9110993424
02/23 09:00,4563.33027571926
02/23 10:00,2606.74445786785
02/23 11:00,2658.26472365141
02/23 12:00,2990.71556597277
02/23 13:00,5245.90183899371
02/23 14:00,5261.14942548173
02/23 15:00,4157.85222889129
02/23 16:00,6833.3094508146
02/23 17:00,6674.40303233518
02/23 18:00,3270.96374456004
02/23 19:00,4289.70484986433
02/23 20:00,3787.38153799275
02/23 21:00,2010.85646644574
02/23 22:00,5892.84305180382
02/23 23:00,420.238560486581
02/24 00:00,3229.96390524769
02/24 01:00,1800.78790103947
02/24 02:00,1657.20536696347
02/24 03:00,-1546.71541617682
02/24 04:00,-320.601500793224
02/24 05:00,-908.229493046517
02/24 06:00,85.0036420130068
02/24 07:00,116.126377248775
02/24 08:00,2258.28712269685
02/24 09:00,3301.17906823134
02/24 10:00,3422.47111174597
02/24 11:00,2427.17491250821
02/24 12:00,2474.39950806604
02/24 13:00,3790.90686136428
02/24 14:00,3639.08292496577
02/24 15:00,3551.97307091355
02/24 16:00,5020.41956806703
02/24 17:00,4937.72977366432
02/24 18:00,2953.52878200972
02/24 19:00,4848.74897361775
02/24 20:00,2496.38087746699
02/24 21:00,2076.63744015438
02/24 22:00,4160.94219865421
02/24 23:00,221.983083104468
02/25 00:00,2125.08159545618
02/25 01:00,-565.079535289018
02/25 02:00,-1333.90210654571
02/25 03:00,-1775.52511298265
02/25 04:00,-2054.82765648766
02/25 05:00,-239.885779144334
02/25 06:00,-55.9378486695275
02/25 07:00,103.813856027215
02/25 08:00,112.24086896547
02/25 09:00,2606.36890784591
02/25 10:00,3458.63563518783
02/25 11:00,1705.1027741513
02/25 12:00,1531.64413726244
02/25 13:00,3828.0992658262
02/25 14:00,2328.40401603745
02/25 15:00,2949.88021417473
02/25 16:00,4780.20685928627
02/25 17:00,4644.25921632084
02/25 18:00,3659.86372889328
02/25 19:00,3415.71865383021
02/25 20:00,2118.72941402197
02/25 21:00,1915.7153755284
02/25 22:00,2611.15147916269
02/25 23:00,-349.323047916933
02/26 00:00,-86.8512888155223
02/26 01:00,-619.363156176722
02/26 02:00,-1566.91726687535
02/26 03:00,-1746.50276592394
02/26 04:00,-591.078266719216
02/26 05:00,-679.564460384912
02/26 06:00,296.941658672464
02/26 07:00,102.472194586517
02/26 08:00,105.630028390199
02/26 09:00,164.557482208165
02/26 10:00,701.870226415445
02/26 11:00,1667.5237817943
02/26 12:00,1708.65656301533
02/26 13:00,3579.54475919754
02/26 14:00,2494.46840493308
02/26 15:00,2602.37883928797
02/26 16:00,4427.98821911967
02/26 17:00,4265.04881138964
02/26 18:00,3408.36932158234
02/26 19:00,3024.91045041975
02/26 20:00,1701.17479111062
02/26 21:00,1674.49288597509
02/26 22:00,2980.80448575214
02/26 23:00,216.560099829245
02/27 00:00,468.742894639347
02/27 01:00,-991.131810025131
02/27 02:00,-460.177979735265
02/27 03:00,114.258498742853
02/27 04:00,16.81519431781
02/27 05:00,89.2490831907766
02/27 06:00,103.502349019104
02/27 07:00,97.6169856639645
02/27 08:00,1486.65270597782
02/27 09:00,1557.09024504525
02/27 10:00,1679.91166718763
02/27 11:00,1941.19812286976
02/27 12:00,1912.73042463811
02/27 13:00,5645.11438148858
02/27 14:00,4396.57222019103
02/27 15:00,2604.12677712551
02/27 16:00,5939.60467527465
02/27 17:00,5619.46527483375
02/27 18:00,3373.24100449182
02/27 19:00,3491.57299409514
02/27 20:00,2058.33996634411
02/27 21:00,2084.73895041553
02/27 22:00,3349.38225435947
02/27 23:00,411.335318064329
02/28 00:00,1937.34714453726
02/28 01:00,2786.33484150114
02/28 02:00,2734.73833024802
02/28 03:00,1324.91165537451
02/28 04:00,41.7622325559996
02/28 05:00,-813.334544768408
02/28 06:00,-688.688332291949
02/28 07:00,102.545344839145
02/28 08:00,103.907151238774
02/28 09:00,2560.01313747416
02/28 10:00,2618.4168317262
02/28 11:00,1737.94065695901
02/28 12:00,1816.9656502416
02/28 13:00,3912.10487729682
02/28 14:00,2579.49893262021
02/28 15:00,4412.96356641649
02/28 16:00,4730.03107844163
02/28 17:00,4270.76924630438
02/28 18:00,3446.63902650781
02/28 19:00,3442.83688329725
02/28 20:00,2064.30614242183
02/28 21:00,1997.28856477005
02/28 22:00,3647.35902327268
02/28 23:00,550.715814254303
03/01 00:00,2483.47406381523
03/01 01:00,1923.19416453658
03/01 02:00,1279.18523625247
03/01 03:00,1383.99424004454
03/01 04:00,27.4295902303134
03/01 05:00,99.7264154948847
03/01 06:00,128.34286139271
03/01 07:00,2497.15558824273
03/01 08:00,1885.9910363547
03/01 09:00,2893.62595414066
03/01 10:00,1731.07451390765
03/01 11:00,1517.69684082966
03/01 12:00,2096.22386845652
03/01 13:00,4937.41016481524
03/01 14:00,4557.73659054741
03/01 15:00,3497.10106972588
03/01 16:00,6010.489699645
03/01 17:00,6163.73107001349
03/01 18:00,4928.82146078849
03/01 19:00,3914.37820787364
03/01 20:00,2370.33201267405
03/01 21:00,2317.3569760076
03/01 22:00,4271.37999605609
03/01 23:00,1609.40076684905
03/02 00:00,2042.05564243887
03/02 01:00,1843.98293068486
03/02 02:00,1575.23475756192
03/02 03:00,1298.79575252782
03/02 04:00,134.324774879346
03/02 05:00,105.765244434875
03/02 06:00,121.654909450258
03/02 07:00,131.873255206212
03/02 08:00,1233.29201239805
03/02 09:00,1798.96029922574
03/02 10:00,1732.56954866328
03/02 11:00,1893.47760501257
03/02 12:00,2520.43109368744
03/02 13:00,3893.17910566232
03/02 14:00,2694.99131572776
03/02 15:00,2778.69986388901
03/02 16:00,4732.96615730186
03/02 17:00,5627.71503666615
03/02 18:00,3699.77206591222
03/02 19:00,3703.78797434129
03/02 20:00,2554.1166728503
03/02 21:00,2056.57575526245
03/02 22:00,4522.76984493198
03/02 23:00,165.469985292423
03/03 00:00,1712.38040233497
03/03 01:00,1567.62252257472
03/03 02:00,2107.12633477662
03/03 03:00,1943.65500222687
03/03 04:00,108.368770174989
03/03 05:00,49.8137707680362
03/03 06:00,99.0048405799078
03/03 07:00,163.223788383483
03/03 08:00,1783.5284526047
03/03 09:00,2096.21233353206
03/03 10:00,2505.10161245371
03/03 11:00,2537.43544036294
03/03 12:00,2280.63086629796
03/03 13:00,4003.29682848819
03/03 14:00,2977.48551511963
03/03 15:00,3948.53087073974
03/03 16:00,5388.82953003124
03/03 17:00,5491.98144670583
03/03 18:00,3588.92803883502
03/03 19:00,2977.80453100519
03/03 20:00,1909.69863859958
03/03 21:00,2044.94568087054
03/03 22:00,3858.26949268384
03/03 23:00,448.4214367955
03/04 00:00,811.080813994083
03/04 01:00,-2019.36461466841
03/04 02:00,-1788.69887929049
03/04 03:00,170.847533095261
03/04 04:00,-484.124417032236
03/04 05:00,-1321.39683342333
03/04 06:00,-169.146302247366
03/04 07:00,111.527342686579
03/04 08:00,146.708731424662
03/04 09:00,406.009979265286
03/04 10:00,1765.57615524214
03/04 11:00,2853.1633559495
03/04 12:00,1946.89896591833
03/04 13:00,4878.89598249842
03/04 14:00,4138.22377967089
03/04 15:00,2581.24565229531
03/04 16:00,6741.72150021082
03/04 17:00,6279.39539207887
03/04 18:00,3968.18538788175
03/04 19:00,4400.81926612746
03/04 20:00,2276.45089256087
03/04 21:00,2271.11876931565
03/04 22:00,3724.76351097335
03/04 23:00,851.838402691373
03/05 00:00,2070.26451784471
03/05 01:00,1414.42784720501
03/05 02:00,-2313.33314098859
03/05 03:00,221.990632457524
03/05 04:00,52.4210335199039
03/05 05:00,99.0314010232396
03/05 06:00,99.8723692292917
03/05 07:00,89.4025836648017
03/05 08:00,1801.27967467252
03/05 09:00,2050.90158653506
03/05 10:00,2173.48664609286
03/05 11:00,1998.08260548216
03/05 12:00,1928.63154181975
03/05 13:00,4369.52144558831
03/05 14:00,3528.6143494494
03/05 15:00,2480.31626174672
03/05 16:00,4867.2742997076
03/05 17:00,4518.02682300124
03/05 18:00,1837.05722070469
03/05 19:00,3952.60372048409
03/05 20:00,2108.70733425382
03/05 21:00,2075.11646024701
03/05 22:00,3769.94574201109
03/05 23:00,-436.757860296394
03/06 00:00,-716.544589366723
03/06 01:00,-1600.98154088451
03/06 02:00,-2049.76170013761
03/06 03:00,-741.758043932534
03/06 04:00,-1582.96878630201
03/06 05:00,-1580.87654641977
03/06 06:00,-412.486160723869
03/06 07:00,1053.70243333526
03/06 08:00,1625.20021633208
03/06 09:00,1303.2812279531
03/06 10:00,1715.05569239233
03/06 11:00,1843.49130182799
03/06 12:00,2339.18033362434
03/06 13:00,4364.70810208254
03/06 14:00,3182.87272901378
03/06 15:00,2647.23816262561
03/06 16:00,4609.76778886364
03/06 17:00,1972.34248505242
03/06 18:00,1856.9196784579
03/06 19:00,3220.3524347253
03/06 20:00,3505.94271984842
03/06 21:00,1860.82849795623
03/06 22:00,3060.68277204469
03/06 23:00,-306.268892789378
